date,account_value,fold,split,seed
2019-03-21,10459.298565120274,fold8,val,69
2019-03-22,10257.995334570063,fold8,val,69
2019-03-25,10250.281489032046,fold8,val,69
2019-03-26,10326.687908205797,fold8,val,69
2019-03-27,10272.688747368607,fold8,val,69
2019-03-28,10311.62679575074,fold8,val,69
2019-03-29,10376.646856963487,fold8,val,69
2019-04-01,10499.705170057385,fold8,val,69
2019-04-02,10489.205464887327,fold8,val,69
2019-04-03,10462.22659193764,fold8,val,69
2019-04-04,10434.466398077297,fold8,val,69
2019-04-05,10383.961274071908,fold8,val,69
2019-04-08,10376.044705828335,fold8,val,69
2019-04-09,10429.220576547108,fold8,val,69
2019-04-10,10393.646629135928,fold8,val,69
2019-04-11,10396.531465000777,fold8,val,69
2019-04-12,10326.189131741676,fold8,val,69
2019-04-15,10332.950922204493,fold8,val,69
2019-04-16,10326.180270434015,fold8,val,69
2019-04-17,10351.447363289935,fold8,val,69
2019-04-18,10331.063584870828,fold8,val,69
2019-04-22,10322.158109406872,fold8,val,69
2019-04-23,10229.344530707693,fold8,val,69
2019-04-24,10252.046700193983,fold8,val,69
2019-04-25,10258.362294472649,fold8,val,69
2019-04-26,10210.591241245393,fold8,val,69
2019-04-29,10194.583659146463,fold8,val,69
2019-04-30,10189.38025168235,fold8,val,69
2019-05-01,10265.968388986554,fold8,val,69
2019-05-02,10288.132160844856,fold8,val,69
2019-05-03,10277.84402868401,fold8,val,69
2019-05-06,10309.81924522554,fold8,val,69
2019-05-07,10481.990428446892,fold8,val,69
2019-05-08,10496.552066001295,fold8,val,69
2019-05-09,10486.055513935296,fold8,val,69
2019-05-10,10486.055513935296,fold8,val,69
2019-05-13,10486.055513935296,fold8,val,69
2019-05-14,10486.055513935296,fold8,val,69
2019-05-15,10486.055513935296,fold8,val,69
2019-05-16,10486.055513935296,fold8,val,69
2019-05-17,10486.055513935296,fold8,val,69
2019-05-20,10486.055513935296,fold8,val,69
2019-05-21,10486.055513935296,fold8,val,69
2019-05-22,10486.055513935296,fold8,val,69
2019-05-23,10486.055513935296,fold8,val,69
2019-05-24,10486.055513935296,fold8,val,69
2019-05-28,10486.055513935296,fold8,val,69
2019-05-29,10486.055513935296,fold8,val,69
2019-05-30,10486.055513935296,fold8,val,69
2019-05-31,10486.055513935296,fold8,val,69
2019-06-03,10486.055513935296,fold8,val,69
2019-06-04,10486.055513935296,fold8,val,69
2019-06-05,10486.055513935296,fold8,val,69
2019-06-06,10486.055513935296,fold8,val,69
2019-06-07,10486.055513935296,fold8,val,69
2019-06-10,10427.49774382416,fold8,val,69
2019-06-11,10430.02396181308,fold8,val,69
2019-06-12,10448.435508678887,fold8,val,69
2019-06-13,10405.322556524792,fold8,val,69
2019-06-14,10416.820111736091,fold8,val,69
2019-06-17,10412.859323575016,fold8,val,69
2019-06-18,10303.82607350828,fold8,val,69
2019-06-19,10280.568333822208,fold8,val,69
2019-06-20,10182.34453637702,fold8,val,69
2019-06-21,10246.357963741044,fold8,val,69
2019-06-24,10258.904013992107,fold8,val,69
2019-06-25,10359.5227722631,fold8,val,69
2019-06-26,10369.855521005577,fold8,val,69
2019-06-27,10333.08429339779,fold8,val,69
2019-06-28,10279.912333054404,fold8,val,69
2019-07-01,10186.586037996083,fold8,val,69
2019-07-02,10160.0570545728,fold8,val,69
2019-07-03,10078.826119091786,fold8,val,69
2019-07-05,10090.294539810402,fold8,val,69
2019-07-08,10145.738898835913,fold8,val,69
2019-07-09,10133.091928415455,fold8,val,69
2019-07-10,10084.675705638148,fold8,val,69
2019-07-11,10061.034848184612,fold8,val,69
2019-07-12,10015.992083285597,fold8,val,69
2019-07-15,10012.66043398765,fold8,val,69
2019-07-16,10044.954009526982,fold8,val,69
2019-07-17,10113.310110988805,fold8,val,69
2019-07-18,10076.286293743924,fold8,val,69
2019-07-19,10132.25913916042,fold8,val,69
2019-07-22,10107.369847032363,fold8,val,69
2019-07-23,10097.262477185332,fold8,val,69
2019-07-24,10097.262477185332,fold8,val,69
2019-07-25,10097.262477185332,fold8,val,69
2019-07-26,10097.262477185332,fold8,val,69
2019-07-29,10105.535882534376,fold8,val,69
2019-07-30,10130.341820563192,fold8,val,69
2019-07-31,10120.21147874263,fold8,val,69
2019-08-01,10120.21147874263,fold8,val,69
2019-08-02,10120.21147874263,fold8,val,69
2019-08-05,10120.21147874263,fold8,val,69
2019-08-06,10120.21147874263,fold8,val,69
2019-08-07,10120.21147874263,fold8,val,69
2019-08-08,10120.21147874263,fold8,val,69
2019-08-09,10120.21147874263,fold8,val,69
2019-08-12,10120.21147874263,fold8,val,69
2019-08-13,10120.21147874263,fold8,val,69
2019-08-14,10120.21147874263,fold8,val,69
2019-08-15,10120.21147874263,fold8,val,69
