fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,seed
fold6,test,1258,251,251,-0.0710641501046602,-0.0716118050801207,0.1711346678705589,-0.4184529410153514,-0.5142744830219504,-0.3548919014108504,-0.2017848386943532,0.9806748159235265,0.9885202144509146,250.0,63
fold7,val,1259,251,251,-0.0710641501046602,-0.0716118050801207,0.1711346678705589,-0.4184529410153514,-0.5142744830219504,-0.3548919014108504,-0.2017848386943532,0.9806748159235265,0.9885202144509146,250.0,63
fold7,test,1259,252,252,0.2852271755515867,0.2865127149213489,0.1257024128581388,2.279293677876272,2.817842373210823,4.329052939876472,-0.0661836939627549,0.8605957370124179,0.8640244052873678,251.0,63
fold8,val,1258,252,252,-0.1240768105863626,-0.1245389976374163,0.1247052146985311,-0.998667120204102,-1.6965561471595243,-0.6938357649508698,-0.1794934823606778,7.394281256647132,7.423740544522221,61.75,63
fold8,test,1258,112,112,0.0400958001396036,0.0933547659547859,0.4590284814698918,0.2033746700332128,0.2811445135003075,0.4084821293834565,-0.228540636761004,5.416530896279326,12.296989061823334,36.333333333333336,63
fold1,val,1260,250,250,0.1227773852920726,0.1243450293986436,0.1267273000487634,0.9812015986357866,1.5082312622658876,1.2836325363910168,-0.0968696460033995,2.969333305199487,3.005108405262131,124.0,69
fold1,test,1260,252,252,0.1814654378166904,0.1822506226598936,0.1051017355288467,1.7340400873767898,2.3928596593858287,3.2801148361814216,-0.0555622689332616,60.74340691516341,60.98541252040311,7.129032258064516,69
fold2,val,1259,252,252,-0.0329466215951899,-0.0330756879656674,0.109140074213068,-0.3030572244352298,-0.4210298431961533,-0.2144721573976524,-0.1542190294861529,3.038597458624829,3.050703424595446,125.0,69
fold2,test,1259,252,252,-0.1783347604433365,-0.1789775101462515,0.1114117491120051,-1.6064509494983408,-2.5716799495666067,-0.8304958846867074,-0.2155067995475597,5.1128759631612635,5.133245986918878,83.0,69
fold3,val,1258,252,252,0.1225369306159702,0.1230540035979865,0.1124055777958019,1.0947321833221542,1.4411190841847457,1.5970903558512748,-0.0770488677407339,0.947645325850124,0.951420805235981,251.0,69
fold3,test,1258,252,252,-0.0085862221515764,-0.0086202823417511,0.1558671542392429,-0.0553053167861123,-0.077717118856652,-0.070165100257016,-0.1228571228456157,0.9973210350370164,1.001294425614853,251.0,69
fold4,val,1258,252,252,-0.0064906801411831,-0.006516454985936,0.1558461150353456,-0.0418133938369787,-0.0586446428578079,-0.0530409213157683,-0.1228571228456161,3.0471376873989557,3.059277678185406,125.0,69
fold4,test,1258,252,252,0.1169208955485343,0.1174130529867139,0.1301870229929887,0.9018798516733668,1.1782995448059097,1.2779617524901623,-0.0918752480329944,5.293147186663582,5.314235422467022,83.0,69
fold5,val,1258,252,252,0.2190456613706484,0.2200080103914885,0.1256833896239152,1.7504939280347442,2.718566864685333,2.7096794522990875,-0.081193371490793,19.83905902124774,19.9180990970296,23.8,69
fold5,test,1258,251,251,-0.1304662500432992,-0.1314381799877952,0.0647884127392733,-2.0287297439549743,-2.8976489006273716,-0.9752297583112264,-0.134776629678941,11.24892708887192,11.338918505582896,38.166666666666664,69
