fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,seed
fold7,test,1259,252,252,0.2852271755515856,0.2865127149213478,0.1257024128581388,2.279293677876263,2.8178423732108144,4.329052939876455,-0.0661836939627549,0.8605957370124182,0.8640244052873681,251.0,770305002
fold8,val,1258,252,252,0.0586919455024776,0.0589325368862143,0.119126154337371,0.4947069534311883,0.8261897480499538,0.584029017872521,-0.1009068643556301,37.37379841981088,37.522698015108936,12.263157894736842,770305002
fold8,test,1258,112,112,0.3362258223585546,0.930995688866172,0.3933401058460941,2.366897438194242,4.373587213705867,6.5772715760095535,-0.1415473997245236,32.08156508190321,72.83382342918566,6.466666666666667,770305002
fold1,val,1260,250,250,0.1158242639878222,0.1172985739197676,0.1270584198280689,0.923186153884898,1.4276663509261736,1.2108909112318955,-0.0968696460033995,0.923873902074506,0.9350049129428734,249.0,1017462198
fold1,test,1260,252,252,0.2446490969953163,0.2457348132307406,0.1081612071198391,2.27193112738169,3.147430274675791,4.063252798992729,-0.0604773626912058,12.295154668511614,12.344139348465845,35.0,1017462198
fold2,val,1259,252,252,-0.2193494981867659,-0.220119280602783,0.1085146513773353,-2.0284752133365638,-3.5303893022020927,-0.9948205267074364,-0.2212653184100586,1.129681550913156,1.134182274223567,251.0,1017462198
fold2,test,1259,252,252,-0.1221120931242574,-0.1225674846405224,0.1123939023312499,-1.0905172086586044,-1.8062840733641532,-0.7024674795683895,-0.174481364910772,1.0617281520061437,1.0659581446436184,251.0,1017462198
fold3,val,1258,252,252,0.1376666410196183,0.1382513948887322,0.1105631745637503,1.2504289555200585,1.911519312506322,1.7943338940935665,-0.0770488677407345,33.5598484125922,33.693552987941175,13.823529411764708,1017462198
fold3,test,1258,252,252,0.0307803548128196,0.0309048614672093,0.1551122558798104,0.1992419057534447,0.2802375289863628,0.2515512389627178,-0.1228571228456154,18.96096942389114,19.036511134743296,24.2,1017462198
fold4,val,1258,252,252,-0.0064906801411821,-0.006516454985935,0.1558461150353456,-0.0418133938369723,-0.0586446428577989,-0.0530409213157603,-0.1228571228456157,3.047137687398955,3.059277678185405,125.0,1017462198
