market_date,total_news_count,market_hours_news_count,outside_market_hours_news_count,score_0_count,score_1_count,score_2_count,score_3_count,score_4_count,score_5_count,score_6_count,score_7_count,score_8_count,score_9_count,score_10_count,sentiment_score_histogram
2000-05-18,55,0,55,0,0,0,0,0,55,0,0,0,0,0,5:55
2000-05-19,17,0,17,0,0,0,0,0,17,0,0,0,0,0,5:17
2000-05-20,15,0,15,0,0,0,0,0,15,0,0,0,0,0,5:15
2000-05-21,59,0,59,0,0,0,0,0,59,0,0,0,0,0,5:59
2000-05-22,47,0,47,0,0,0,0,0,47,0,0,0,0,0,5:47
2000-05-23,55,0,55,0,0,0,0,0,55,0,0,0,0,0,5:55
2000-05-24,53,0,53,0,0,0,0,0,53,0,0,0,0,0,5:53
2000-05-25,52,0,52,0,0,0,0,0,52,0,0,0,0,0,5:52
2000-05-26,23,0,23,0,0,0,0,0,23,0,0,0,0,0,5:23
2000-05-27,15,0,15,0,0,0,0,0,15,0,0,0,0,0,5:15
2000-05-28,54,0,54,0,0,0,0,0,54,0,0,0,0,0,5:54
2000-05-29,56,0,56,0,0,0,0,0,56,0,0,0,0,0,5:56
2000-05-30,59,0,59,0,0,0,0,0,58,0,0,0,0,1,"5:58, 10:1"
2000-05-31,61,0,61,0,0,0,0,0,61,0,0,0,0,0,5:61
2000-06-01,50,0,50,0,0,0,0,0,50,0,0,0,0,0,5:50
2000-06-02,19,0,19,0,0,0,0,0,19,0,0,0,0,0,5:19
2000-06-03,14,0,14,0,0,0,0,0,14,0,0,0,0,0,5:14
2000-06-04,51,0,51,0,0,0,0,0,51,0,0,0,0,0,5:51
2000-06-05,59,0,59,0,0,0,0,0,59,0,0,0,0,0,5:59
2000-06-06,53,0,53,0,0,0,0,0,53,0,0,0,0,0,5:53
2000-06-07,57,0,57,0,0,0,0,0,57,0,0,0,0,0,5:57
2000-06-08,48,0,48,0,0,0,0,0,48,0,0,0,0,0,5:48
2000-06-09,16,0,16,0,0,0,0,0,16,0,0,0,0,0,5:16
2000-06-10,19,0,19,0,0,0,0,0,19,0,0,0,0,0,5:19
2000-06-11,19,0,19,0,0,0,0,0,19,0,0,0,0,0,5:19
2000-06-12,54,0,54,0,0,0,0,0,54,0,0,0,0,0,5:54
2000-06-13,49,0,49,0,0,0,0,0,49,0,0,0,0,0,5:49
2000-06-14,56,0,56,0,0,0,0,0,55,0,0,0,0,1,"5:55, 10:1"
2000-06-15,49,0,49,0,0,0,0,0,49,0,0,0,0,0,5:49
2000-06-16,22,0,22,0,0,0,0,0,22,0,0,0,0,0,5:22
2000-06-17,20,0,20,0,0,0,0,0,20,0,0,0,0,0,5:20
2000-06-18,51,0,51,0,0,0,0,0,51,0,0,0,0,0,5:51
2000-06-19,52,0,52,0,0,0,0,0,52,0,0,0,0,0,5:52
2000-06-20,54,0,54,0,0,0,0,0,54,0,0,0,0,0,5:54
2000-06-21,56,0,56,0,0,0,0,0,56,0,0,0,0,0,5:56
2000-06-22,54,0,54,0,0,0,0,0,54,0,0,0,0,0,5:54
2000-06-23,18,0,18,0,0,0,0,0,18,0,0,0,0,0,5:18
2000-06-24,18,0,18,0,0,0,0,0,18,0,0,0,0,0,5:18
2000-06-25,58,0,58,0,0,0,0,0,58,0,0,0,0,0,5:58
2000-06-26,52,0,52,0,0,0,0,0,52,0,0,0,0,0,5:52
2000-06-27,49,0,49,0,0,0,0,0,49,0,0,0,0,0,5:49
2000-06-28,50,0,50,0,0,0,0,0,50,0,0,0,0,0,5:50
2000-06-29,55,0,55,0,0,0,0,0,55,0,0,0,0,0,5:55
2000-06-30,16,0,16,0,0,0,0,0,16,0,0,0,0,0,5:16
2000-07-01,13,0,13,0,0,0,0,0,13,0,0,0,0,0,5:13
2000-07-02,53,0,53,0,0,0,0,0,53,0,0,0,0,0,5:53
2000-07-03,46,0,46,0,0,0,0,0,46,0,0,0,0,0,5:46
2000-07-04,61,0,61,0,0,0,0,0,61,0,0,0,0,0,5:61
2000-07-05,53,0,53,0,0,0,0,0,53,0,0,0,0,0,5:53
2000-07-06,59,0,59,0,0,0,0,0,59,0,0,0,0,0,5:59
2000-07-07,18,0,18,0,0,0,0,0,18,0,0,0,0,0,5:18
2000-07-08,9,0,9,0,0,0,0,0,9,0,0,0,0,0,5:9
2000-07-09,45,0,45,0,0,0,0,0,45,0,0,0,0,0,5:45
2000-07-10,54,0,54,0,0,0,0,0,54,0,0,0,0,0,5:54
2000-07-11,50,0,50,0,0,0,0,0,50,0,0,0,0,0,5:50
2000-07-12,48,0,48,0,0,0,0,0,48,0,0,0,0,0,5:48
2000-07-13,47,0,47,0,0,0,0,0,47,0,0,0,0,0,5:47
2000-07-14,20,0,20,0,0,0,0,0,20,0,0,0,0,0,5:20
2000-07-15,17,0,17,0,0,0,0,0,17,0,0,0,0,0,5:17
2000-07-16,53,0,53,0,0,0,0,0,53,0,0,0,0,0,5:53
2000-07-17,49,0,49,0,0,0,0,0,49,0,0,0,0,0,5:49
2000-07-18,40,0,40,0,0,0,0,0,40,0,0,0,0,0,5:40
2000-07-19,58,0,58,0,0,0,0,0,58,0,0,0,0,0,5:58
2000-07-20,52,0,52,0,0,0,0,0,51,0,0,0,0,1,"5:51, 10:1"
2000-07-21,26,0,26,0,0,0,0,0,26,0,0,0,0,0,5:26
2000-07-22,24,0,24,0,0,0,0,0,24,0,0,0,0,0,5:24
2000-07-23,52,0,52,0,0,0,0,0,52,0,0,0,0,0,5:52
2000-07-24,48,0,48,0,0,0,0,0,48,0,0,0,0,0,5:48
2000-07-25,53,0,53,1,0,0,0,0,52,0,0,0,0,0,"0:1, 5:52"
2000-07-26,51,0,51,0,0,0,0,0,51,0,0,0,0,0,5:51
2000-07-27,53,0,53,0,0,0,0,0,53,0,0,0,0,0,5:53
2000-07-28,26,0,26,0,0,0,0,0,26,0,0,0,0,0,5:26
2000-07-29,24,0,24,0,0,0,0,0,24,0,0,0,0,0,5:24
2000-07-30,59,0,59,0,0,0,0,0,59,0,0,0,0,0,5:59
2000-07-31,57,0,57,0,0,0,0,0,57,0,0,0,0,0,5:57
2000-08-01,61,0,61,0,0,0,0,0,61,0,0,0,0,0,5:61
2000-08-02,68,0,68,0,0,0,0,0,68,0,0,0,0,0,5:68
2000-08-03,60,0,60,0,0,0,0,0,59,0,0,0,0,1,"5:59, 10:1"
2000-08-04,21,0,21,0,0,0,0,0,21,0,0,0,0,0,5:21
2000-08-05,15,0,15,0,0,0,0,0,15,0,0,0,0,0,5:15
2000-08-06,50,0,50,0,0,0,0,0,50,0,0,0,0,0,5:50
2000-08-07,55,0,55,0,0,0,0,0,55,0,0,0,0,0,5:55
