variant,date,fold,split,account_value,account_value_std,seed_count
gating,2012-12-12,fold1,val,11211.21779425938,324.5581117193925,5
gating,2012-12-13,fold1,val,11168.523266259845,361.53211080374047,5
gating,2012-12-14,fold1,val,11144.308367132224,388.7086160831741,5
gating,2012-12-17,fold1,val,11220.405083409016,310.3637711892391,5
gating,2012-12-18,fold1,val,11238.916619501768,229.0862708042444,5
gating,2012-12-19,fold1,val,11219.055433614069,313.4056752706728,5
gating,2012-12-20,fold1,val,11215.55219228635,258.52891607345157,5
gating,2012-12-21,fold1,val,11180.795899645136,451.94558144004145,5
gating,2012-12-24,fold1,val,11175.103216941005,489.2799591007117,5
gating,2012-12-26,fold1,val,11167.461383559137,540.509303855999,5
gating,2012-12-27,fold1,val,11159.566604954034,548.7202226897363,5
gating,2012-12-28,fold1,val,11087.24460043276,610.7459612227219,5
gating,2012-12-31,fold1,val,11195.214987324842,514.6152826140253,5
gating,2013-01-30,fold1,test,10000.0,0.0,5
gating,2013-01-30,fold2,val,10000.0,0.0,5
gating,2013-01-31,fold1,test,9994.926239055909,26.982122545844113,5
gating,2013-01-31,fold2,val,10004.778717167728,22.030810804854536,5
gating,2013-02-01,fold1,test,9974.118828318064,85.59689396234778,5
gating,2013-02-01,fold2,val,9938.968617250395,41.30864412786868,5
gating,2013-02-04,fold1,test,9995.698443546547,37.41028285853003,5
gating,2013-02-04,fold2,val,10046.650647273482,36.8247869146265,5
gating,2013-02-05,fold1,test,9975.18068340251,73.0813289599865,5
gating,2013-02-05,fold2,val,9963.592606373018,75.92322909691202,5
gating,2013-02-06,fold1,test,9973.774459173024,81.04963990285724,5
gating,2013-02-06,fold2,val,9957.25705278762,77.88810193268225,5
gating,2013-02-07,fold1,test,9976.319705462793,66.5725755845522,5
gating,2013-02-07,fold2,val,9965.74142993462,67.72039366337967,5
gating,2013-02-08,fold1,test,9965.541963889473,127.45686739005063,5
gating,2013-02-08,fold2,val,9930.704825066798,112.34747832804612,5
gating,2013-02-11,fold1,test,9965.913769066934,125.29446616926116,5
gating,2013-02-11,fold2,val,9930.240962103902,106.99244676275336,5
gating,2013-02-12,fold1,test,9962.811410016937,143.3187300885806,5
gating,2013-02-12,fold2,val,9918.524157270052,117.10437284571718,5
gating,2013-02-13,fold1,test,9961.21500199972,152.67536349848803,5
gating,2013-02-13,fold2,val,9909.749504061267,116.35308823225806,5
gating,2013-02-14,fold1,test,9959.504971251761,162.74400166313976,5
gating,2013-02-14,fold2,val,9898.60975233438,111.7630338447395,5
gating,2013-02-15,fold1,test,9961.690648207568,149.8108142117924,5
gating,2013-02-15,fold2,val,9905.902920315657,102.13473066372157,5
gating,2013-02-19,fold1,test,9947.74287069824,231.81977775636162,5
gating,2013-02-19,fold2,val,9859.868267610154,164.04159547504855,5
gating,2013-02-20,fold1,test,9993.3962858489,133.99207171209287,5
gating,2013-02-20,fold2,val,9955.418563487929,105.3357280879824,5
