fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,run,seed,variant
fold5,test,1239,232,232,-0.0499312601759504,-0.0543449228623754,0.0570735227874317,-0.9521914928009813,-1.2383076896985246,-0.7998223926455741,-0.0679462382674966,21.167081281911702,23.09136139844913,18.181818181818183,drl_latent_regime_no_dir_42,42,no_sentiment
fold6,val,1239,232,232,-0.0313790162313578,-0.0341823574628279,0.0670177974339512,-0.5100489537352525,-0.7149512264434541,-0.6149775413343683,-0.0555830988374951,45.19368884628052,49.3022060141242,9.08695652173913,drl_latent_regime_no_dir_42,42,no_sentiment
fold6,test,1239,232,232,-0.1587690460752193,-0.1718874664976769,0.149311258808309,-1.1512023130040852,-1.352570607643331,-1.011464769375829,-0.1699391532972008,81.03788181005937,88.40496197461022,4.658536585365853,drl_latent_regime_no_dir_42,42,no_sentiment
fold7,val,1240,232,232,0.018678720630666,0.0203939896401115,0.1684617974029688,0.1210600263947564,0.1845566919053257,0.2345503309609286,-0.0869493108645783,11.24900789418509,12.271644975474642,37.66666666666666,drl_latent_regime_no_dir_42,42,no_sentiment
fold7,test,1240,233,233,-0.2105565470526601,-0.2264838390001466,0.1152918252276972,-1.964439703793822,-2.632722613105222,-0.8872625883277659,-0.2552613419968528,21.47911933429795,23.33076755277191,20.181818181818183,drl_latent_regime_no_dir_42,42,no_sentiment
fold8,val,1239,233,233,-0.1196388393340451,-0.1292564622069115,0.1170038024256427,-1.1047201845346482,-1.8956289111966516,-1.054714373216031,-0.1225511527000274,7.204829375795025,7.82593535646701,56.75,drl_latent_regime_no_dir_42,42,no_sentiment
fold8,test,1239,93,93,-0.115930292192769,-0.2864579517088462,0.5041787991726387,-0.568167388590964,-0.7953760191384766,-0.996788367644351,-0.2873809135491968,5.367937220751245,14.703480213362107,29.666666666666668,drl_latent_regime_no_dir_42,42,no_sentiment
fold1,val,1241,231,231,0.2597928854251963,0.2879321465653137,0.1223420630366113,2.353500827259623,3.67717196418481,4.264821992088025,-0.067513285923651,57.5426754256757,63.04675742291423,6.965517241379311,drl_latent_regime_no_dir_52,52,gating
fold1,test,1241,233,233,-0.0866775488830208,-0.0937883057033426,0.1121267940947429,-0.8364486513731502,-1.4275176702069865,-0.8420373282788464,-0.1113825985542104,9.213524526176377,10.007793881881236,45.6,drl_latent_regime_no_dir_52,52,gating
fold2,val,1240,233,233,0.136670259477363,0.1492925045426845,0.099772530538859,1.4963287363402962,2.241752656976155,2.8331497049408063,-0.0526948873482856,41.24395192475575,44.79946502171745,9.285714285714286,drl_latent_regime_no_dir_52,52,gating
fold2,test,1240,233,233,0.1167988755590387,0.1274849178575554,0.090177516192566,1.4137106813335012,2.059986277739517,2.4071493583874184,-0.0529609504343175,48.153576132032704,52.30474648824242,7.25,drl_latent_regime_no_dir_52,52,gating
fold3,val,1239,233,233,0.1343951009734898,0.1467939847295085,0.1081441823648034,1.3573914150492856,1.7491933010433094,2.2042304012902205,-0.0665964794985063,31.431041265213512,34.14061378807675,12.625,drl_latent_regime_no_dir_52,52,gating
fold3,test,1239,233,233,0.0265061351801594,0.0288237786265199,0.1543954331257185,0.1866880259537846,0.2527536459735374,0.2346121898259034,-0.1228571228456159,3.0050583586126245,3.264115113665437,114.5,drl_latent_regime_no_dir_52,52,gating
fold4,val,1239,233,233,0.0173128282138288,0.0188192733334304,0.1538614329781849,0.1223131292173701,0.1658189021954369,0.1470408305539377,-0.1279867181281131,7.140568728573428,7.756134998278035,57.25,drl_latent_regime_no_dir_52,52,gating
fold4,test,1239,233,233,0.1445378004753499,0.157935751567227,0.1174041569900458,1.3452313411748933,1.796674720798397,2.787265675371814,-0.0566633288540601,29.214010461088403,31.73245963876844,14.533333333333331,drl_latent_regime_no_dir_52,52,gating
fold5,val,1239,233,233,0.1117950561311575,0.1219987895313243,0.1161585495113811,1.0502781762040767,1.4523637132029557,2.140714285328013,-0.0569897582164408,41.023812417772696,44.56034797102897,10.095238095238097,drl_latent_regime_no_dir_52,52,gating
fold5,test,1239,232,232,0.0248988190824761,0.027192860241737,0.067386266168891,0.403537126891454,0.540369836655275,0.5002556951912468,-0.0543579223647644,44.637953608414406,48.695949390997534,9.5,drl_latent_regime_no_dir_52,52,gating
fold6,val,1239,232,232,-0.0933686377946918,-0.1014116056334796,0.0661384125293164,-1.5333238545531778,-2.2239116509192884,-1.0362618572293003,-0.0978629145963437,25.334017660652645,27.63711017525743,16.846153846153847,drl_latent_regime_no_dir_52,52,gating
fold6,test,1239,232,232,-0.1248126913793797,-0.1353557319935263,0.1547426484728694,-0.8747151049134195,-1.114600004800934,-0.8046793377257194,-0.1682107712322834,94.16699622721768,102.72763224787384,3.893617021276596,drl_latent_regime_no_dir_52,52,gating
fold7,val,1240,232,232,0.1479074897565662,0.1623929583882872,0.1707080260769148,0.9512907044869634,1.489374624852596,1.867673898430452,-0.0869493108645778,12.912544722908578,14.086412424991176,31.714285714285715,drl_latent_regime_no_dir_52,52,gating
fold7,test,1240,233,233,-0.1874418306854107,-0.2018522497554331,0.1150504269691024,-1.754467628439501,-2.289184408483353,-0.901086389786396,-0.2240098752388021,21.01622018962168,22.827963309416653,19.727272727272727,drl_latent_regime_no_dir_52,52,gating
